A,B,C,D,E
1.6227949407889193,1.6225745290165918,5.217021251540172,-3.8550754055684515,-0.005750312109335076
0.8028052237074139,0.3960255918127126,5.209107476786028,-4.854605341305379,0.1636917868446228
0.5708592376822119,3.6224759435073386,5.727133973430131,-5.449495896116073,0.03540382141196287
0.5730414020537901,1.4330442728213308,2.9831037683526858,-3.800405178446981,0.08719587679182325
-0.9223258418434019,-0.6606761331465025,6.099646312526141,-7.501774067761115,0.27954140864345006
2.020069499108722,-3.3168299374896244,-8.316907483915857,4.751841813541702,0.9942069902643096
0.2086060445471079,0.02408203501632572,0.1332716704110608,-2.536846254742075,0.2896603670340896
0.3669097244353558,1.0604030255705221,3.373875820482402,-4.287327124719332,0.012589500996067468
0.3269303609493674,-2.0612138614683597,-1.0220464209354345,-1.6987383002595953,0.22781183029968824
-1.26165166172592,1.7946563304056236,-5.437917770378118,-0.9948231756504201,0.17769840495698916
0.4123269278433424,1.9469699393904554,3.2817715096063873,-4.176440051246844,0.044767776100263015
1.866879376283109,-1.5694145948997973,-4.546607026423609,2.3020427217678368,0.8898294831379664
1.6253140748675383,0.7132714706072564,3.8188223556113012,-3.0130707714679925,0.13340472084559166
0.141004454140157,2.0680393842991815,3.08395744350475,-4.390052419747117,0.032453130322061284
1.7206081152324122,-2.6949078548260275,-6.330388634141422,3.1931667095947036,0.9512050379357497
-0.8394955186216062,1.2583337022916072,-5.540766903668086,-0.41608012448297765,0.31295859481519545
0.9283734011594612,1.1140713227332861,5.584987463277687,-4.92634435185599,-0.06031928768260955
0.37653683828698037,-1.5346754310476762,-3.2575866962530537,-0.29665885636197886,0.30542806743123385
1.9143771804329093,1.4123604036896003,4.225917434824852,-2.903299262946409,0.009815071145940157
0.37594931291083356,2.865235621640417,5.964133684966932,-5.8304106537852185,0.04849161146450804
2.5081570670574194,1.8260514886660306,7.727445934428299,-4.27698749182963,0.05969624827748645
0.7298865414592622,-1.8995726268395061,-2.3983060001121714,-0.3794640372785159,0.3125902616783432
1.1048937430686976,-1.6038322771348021,-2.651339029484758,0.2316439272511034,0.5254107672283496
2.127159838119027,-3.0626793523226175,-8.270000781397705,4.854856135509269,1.1083651602422904
