B,A,C,D,E
3.2618183713082365,1.798179914001995,3.114290993922123,-2.9275608315250876,-2.291614069791414
0.6856350072916639,0.5506372298584966,2.1013713183037277,-3.0082241306276987,-2.558538966525004
-4.472679311670184,1.8202215988635295,-3.9333212274036526,1.9540103684139247,1.4348513045278686
1.326338927644476,0.4862182065933222,0.7040474425657627,-1.1912281006104728,-0.480391379730404
-2.9804531730286623,-1.6586008419521385,-3.215532801173718,-2.515481290737199,-2.8685251290269886
1.3330269839718902,0.21488491302164037,0.8315835644824806,-3.3884968544621445,-3.1036012318199706
-0.23715385161173458,1.5693598784655312,3.9767752547138446,-5.279250866132188,-4.213868334084831
-2.329525722980243,0.012205350290209194,-2.3796852635663406,0.04637086743723873,0.19048562963932647
2.4064945787437364,1.5574340065088994,0.4554722513983944,-2.5362066256006623,-2.3628064816747223
1.4913080581409084,-0.01057574878961931,3.5942155076790034,-3.8455129702501125,-3.113995129386886
2.1631756304456284,-0.08300033755235248,2.3291839044410483,-4.8001405161907575,-4.468800756935824
3.028291629120116,2.3261824636460657,3.0520029706261784,-2.507511898357273,-3.0283573128134225
-0.3529843052702895,-0.7577497905655317,-0.5626325488353243,-2.0181232202945303,-1.2962923890811533
-4.464318009346943,2.9384018170999853,-3.7563134260308018,1.3743110852847042,1.3279131588846311
0.7712780141285428,-0.7908158831409751,0.9177003318468907,-2.073846839888601,-1.4672021725788504
-1.3675070456819796,-0.7552079978420703,-1.0444193562491877,-2.439486934097727,-1.7631917898798906
2.0232090164244294,-0.5708710089549298,1.057034575362674,-3.8370946551368315,-3.2178917671732634
-2.4130182116603085,0.8558755594658929,-2.211683235661934,-2.6721225076564052,-2.3566240334899478
-1.8355911102918927,2.7702765301645127,2.390455242437967,-4.989909958675467,-4.20548866556518
1.0688169043894928,2.127961198953134,1.0270857245497629,-2.659601234068668,-1.4544116990967968
1.639140611931025,1.427142619579427,1.7431717505872624,-3.4456008408191163,-2.269134611362179
0.4880382196356226,0.9194103522195494,2.115387582950166,-2.9727080295236523,-2.3925192230946513
-3.8597748247042123,1.199685532973135,-3.4601150298345225,0.6882956187864772,0.551029946650004
0.13042333620136193,0.7764927530159182,0.1953531190207581,-2.231532884741907,-2.509744837158061
2.194980769592461,0.5600915754658261,3.8069506179947545,-2.0565241018992277,-1.3722757861484491
-1.5600601569614658,0.22801668639301226,-1.3563297174071833,0.5626810467524344,0.35559433075757146
2.6729371079219995,0.4783335284999028,0.7624953521988097,-1.2561719975713244,-0.36021777522162013
-2.5829342761126153,-0.5817744746493236,-2.6253969849429404,-3.807310827891984,-2.7290452005182106
3.0735218017503256,0.7898022249964793,0.5378220074755277,-4.2510636246814295,-2.9263911660037443
-1.3805555884420677,-0.29585462112406524,-1.3997048484417105,2.108378797213607,1.8352318143429314
-1.928058658518218,-0.05431264017067594,-1.7941102857367843,0.9036562188132775,0.8952697390239688
-4.290107532949112,0.5587645974371882,-3.6512752992904525,0.23733066668648234,0.2256370600108174
-3.470467296249106,0.7073607693469786,-3.7369042081716133,0.4765758676252097,0.04240262182096344
-4.013909773220422,2.1387189920469054,-3.52001992159854,-0.7675032841854869,-1.0205994307385566
0.7356348963968531,1.45634722958982,3.2817562727422827,-6.117742666173264,-4.525702867424074
1.7363003006800655,0.38552215691845565,1.4539110652926688,-3.7982230494845064,-3.388439000598606
-1.7083106373537458,0.9083743671378876,-2.1806035191328292,0.5044319341759731,0.20931040726316646
-4.679743194445788,0.8125553451690454,-4.881320689261503,-1.2114549057819075,-1.1583764581752518
-1.6898520392717606,0.4556283498753055,2.7336516509214377,-2.481826819007674,-2.028053238399716
-3.315321144486088,-0.9478203552353153,-3.3249750738149304,0.9005892726510107,0.1870470818323936
1.3849753223629848,-0.9528866455517542,-0.6016180344483782,-2.1406265052418196,-1.8603312439098518
-0.806794376455259,-0.5498052314836026,-0.581224205675346,-2.438603285714817,-2.385923364908416
1.7797099798817941,-0.5768824219672088,0.58470903533747,-3.489472665628589,-3.1093555852848658
1.8588561116248938,-0.48179078711366685,-0.07238123400044322,-3.5604891978413917,-2.669263719330378
2.2028953871783514,1.505747396238457,2.0285677240507534,-4.150001967446878,-3.3663172240044408
2.096642589679082,2.673976349838976,3.264923480830287,-2.914879113834915,-2.4261077611071173
2.1798274203223302,0.3293770041936469,0.05266787044708643,-2.236151473866878,-2.1920931993782644
1.6455836243232358,0.10265744411189953,-0.6462505321994305,-2.456242385426365,-2.040638467315495
-1.8834771449622547,-0.3106068042046307,-2.015842905936397,-1.5886163120586738,-1.5071147944562164
-0.20283613277386392,0.18823736131700675,1.559797094662207,-1.620762041911192,-1.302005031793556
-2.76701333319371,2.238597087663539,1.2779466037130816,-4.934261033212001,-4.494074291778963
2.3634631190921516,0.9636293219984442,0.8910414063766783,-1.6141938256253703,-1.0827758992873715
-2.874657660170941,0.10755881499957481,-2.832635502893777,1.4460388932913193,1.2152308249945472
-3.0231015386387834,-0.05735292173907047,-2.5196856072615263,1.7442142005898853,1.344938587818199
-1.374908353468364,-0.8127901174398218,-1.0849779285812042,0.28785037422235127,0.47713847175108776
-2.1044833312843876,0.44994698512532666,-1.9776447862699273,-0.09212480303698056,-0.6222261322078896
-2.4401481986209745,0.16811797362924097,-1.8883373990088599,-1.2309053077240466,-0.7333296532357041
-1.7185379475857896,1.1395338002465196,2.5741254369283126,-3.8876666484557587,-2.799599197205238
0.6091078549985462,0.6124192548072392,1.3791901454159126,-1.86998403940607,-1.9964674150782633
1.7046204590055598,2.118853585395738,4.370424440836697,-4.989988796444971,-3.996208199874906
2.544638407800643,2.0975138061361065,2.5850887891352516,-4.5402291491521725,-4.889681575360879
-3.4435216781881928,1.273138292541266,-2.6079049433883275,0.5357656824161623,-0.4877828013542884
-1.2607792064636056,0.6306872542283242,-1.3135585761450308,0.019400986600294656,-0.40197226833118554
2.261093737564522,-0.8235601873838312,-0.24267574858758093,-3.2050260321664292,-2.9590683544584175
-2.1892862766966372,0.027775324842353566,-1.7528454623591831,-1.658711291385364,-1.4236345106395067
